Ditta,Rag. Soc.(attivita'),Tipo_stampa,DataStoDit,DataStoAna,CodAnacf,DataInizio,DataFine,CodiceConto,Descr_conto,ContoChiusura,Saldo_apertura,Progr_dare,Progr_avere,Saldo_preced,Num_riga,Data_registraz,Cod_causale,Descrizione,CodiceControp,Descr_controp,Num_documento,Num_documento_ori,Data_documento,Importo_dare,Importo_avere,Importo_saldo,Attivita_ETS,Codice_UnProd,Descr_UnProD,CodAnacfControp,DescrAgg,DescrAgg2,DescrAgg3
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,01/05/2005,SOCI C/SOTTOSCRIZIONE,55/05/010,,,,0,1,19/03/2025,100,SOTT.AUM.       CAP.SOC.FRONTA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,,,,,"10.000,00","10.000,00-",,0,,,CAP.SOC.FRONTALI F,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,01/05/2005,SOCI C/SOTTOSCRIZIONE,55/05/010,,,"10.000,00","10.000,00-",2,20/03/2025,100,SOTT.AUM.       CAP.SOC.MANFRE,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,,,,,"10.000,00","20.000,00-",,0,,0,CAP.SOC.MANFREDI,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,01/05/2005,SOCI C/SOTTOSCRIZIONE,55/05/010,,,"20.000,00","20.000,00-",3,24/03/2025,100,AUMENTO         MANFREDI,28/05/2005,CAPITALE SOCIALE,,,,"10.000,00",,"10.000,00-",,0,,0,MANFREDI,FRONTALI - MANFREDI,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,01/05/2005,SOCI C/SOTTOSCRIZIONE,55/05/010,,"10.000,00","20.000,00","10.000,00-",4,24/03/2025,100,AUMENTO         FRONTALI,28/05/2005,CAPITALE SOCIALE,,,,"10.000,00",,0,,0,,0,FRONTALI,FRONTALI - MANFREDI,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,03/05/0501,SPESE COSTITUZIONE E MODIFICA,55/05/010,"1.968,61",,,"1.968,61",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,"1.968,61",,"1.968,61",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,24/03/2025,0,01/01/2025,31/08/2025,03/05/0501,SPESE COSTITUZIONE E MODIFICA,55/05/010,"1.968,61","1.968,61",,"1.968,61",2,28/03/2025,11,FATT. ACQUISTO,40/00120,NOTAIO ALESSANDRO SCILABRA,94/00,98,24/03/2025,"227,5",,"2.196,11",,0,,152296,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,24/03/2025,0,01/01/2025,31/08/2025,03/05/0501,SPESE COSTITUZIONE E MODIFICA,55/05/010,"1.968,61","2.196,11",,"2.196,11",3,28/03/2025,11,FATT. ACQUISTO,40/00120,NOTAIO ALESSANDRO SCILABRA,94/00,98,24/03/2025,"1.933,83",,"4.129,94",,0,,152296,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,03/10/2010,COSTI DI SVILUPPO,55/05/010,"247.638,09",,,"247.638,09",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,"247.638,09",,"247.638,09",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,03/15/005,DIRITTI DI BREVETTO,55/05/010,"8.139,00",,,"8.139,00",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,"8.139,00",,"8.139,00",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,03/20/005,"CONC.ONI, LICENZE E DIR. SIMILI",55/05/010,"7.000,00",,,"7.000,00",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,"7.000,00",,"7.000,00",,0,,0,AL 01/01/25,,
