,,PROGRESSIVO,,,,,,,,,,GENNAIO,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
CONTO ECONOMICO,,2025,,,2024,,,VARIAZIONE,,,,2025,,,2024,,,VARIAZIONE,,,,MESE CORRENTE + BUDGET,,,16-lug-05,,,VARIAZIONE,,,,,,
Gennaio,,,,% RICAVI,,,% RICAVI,,,,,,,% RICAVI,,,% RICAVI,,,,,,,% RICAVI,,,% RICAVI,,,% RICAVI,,, CONTO ECONOMICO,TRASCODIFICA
Ricavi caratteristici,,56.600 ,,"100,0%",0 ,,"0,0%",56.600 ,#DIV/0!,,,56.600 ,, ,0 ,,,56.600 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ricavi caratteristici,Ricavi caratteristici
Altri ricavi,,0 ,,"0,0%",0 ,,100%,-0 ,"-23,4%",,,0 ,,,0 ,,,-0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri ricavi,Altri ricavi
TOTALE RICAVI,,56.600 ,,100%,0 ,,100%,56.600 ,"12042529,8%",,,56.600 ,,100%,0 ,,100%,56.600 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Servizi diretti,,530 ,,"0,9%",254 ,,,276 ,"108,9%",,,530 ,,,254 ,,,276 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi diretti,Servizi diretti
Cosulenze dirette,,0 ,,"0,0%",0 ,,,0 ,"0,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Cosulenze dirette,Cosulenze dirette
Servizi informatici web,,106 ,,"0,2%",0 ,,,106 ,"41,6%",,,106 ,,,0 ,,,106 ,,,,,,,,,,,,,,,Servizi informatici web,Servizi informatici web
Servizi cloud,,0 ,,"0,0%",0 ,,,0 ,"0,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi cloud,Servizi cloud
COSTI DIRETTI,,636 ,,"1,1%",254 ,,54026%,382 ,"150,5%",,,636 ,,1%,254 ,,54026%,382 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
---,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,---,---
---,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,---,---
Altri servizi e prestazioni,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri servizi e prestazioni,Altri servizi e prestazioni
COSTI INDIRETTI,,0 ,,"0,0%",0 ,,0%,0 ,#DIV/0!,,,0 ,,0%,0 ,,0%,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
TOTALE COSTI DIRETTI E INDIRETTI,,636 ,,"1,1%",254 ,,54026%,382 ,"150,5%",,,636 ,,1%,254 ,,54026%,382 ,,,,#REF!,,#REF!,#REF!,,n/a,#REF!,,#ERROR!,,,,
GROSS PROFIT,,55.964 ,,"98,9%",-253 ,,-53926%,56.218 ,"-22181,0%",,,55.964 ,,99%,-253 ,,-53926%,56.218 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Autofatture,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Autofatture,Ricavi non tipici
Rimborsi spese,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Rimborsi spese,Ricavi non tipici
Altri proventi,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri proventi,Ricavi non tipici
