,,PROGRESSIVO,,,,,,,,,,MARZO,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
CONTO ECONOMICO,,2025,,,2024,,,VARIAZIONE,,,,2025,,,2024,,,VARIAZIONE,,,,MESE CORRENTE + BUDGET,,,16-lug-05,,,VARIAZIONE,,,,,,
Marzo,,,,% RICAVI,,,% RICAVI,,,,,,,% RICAVI,,,% RICAVI,,,,,,,% RICAVI,,,% RICAVI,,,% RICAVI,,, CONTO ECONOMICO,TRASCODIFICA
Ricavi caratteristici,,107.100 ,,"91,3%",0 ,,"0,0%",107.100 ,#DIV/0!,,,25.000 ,, ,0 ,,,25.000 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ricavi caratteristici,Ricavi caratteristici
Altri ricavi,,10.240 ,,"8,7%",1 ,,100%,10.240 ,"1969157,7%",,,10.240 ,,,0 ,,,10.240 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri ricavi,Altri ricavi
TOTALE RICAVI,,117.340 ,,100%,1 ,,100%,117.340 ,"22565311,5%",,,35.240 ,,100%,0 ,,100%,35.240 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Servizi diretti,,6.478 ,,"5,5%",287 ,,,6.190 ,"2156,7%",,,1.327 ,,,26 ,,,1.300 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi diretti,Servizi diretti
Cosulenze dirette,,0 ,,"0,0%",0 ,,,0 ,"0,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Cosulenze dirette,Cosulenze dirette
Servizi informatici web,,344 ,,"0,3%",0 ,,,344 ,"119,8%",,,134 ,,,0 ,,,134 ,,,,,,,,,,,,,,,Servizi informatici web,Servizi informatici web
Servizi cloud,,0 ,,"0,0%",0 ,,,0 ,"0,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi cloud,Servizi cloud
COSTI DIRETTI,,6.821 ,,"5,8%",287 ,,55200%,6.534 ,"2276,5%",,,1.461 ,,4%,26 ,,52800%,1.434 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
---,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,---,---
---,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,---,---
Altri servizi e prestazioni,,1.250 ,,"1,1%",0 ,,,1.250 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri servizi e prestazioni,Altri servizi e prestazioni
COSTI INDIRETTI,,1.250 ,,"1,1%",0 ,,0%,1.250 ,#DIV/0!,,,0 ,,0%,0 ,,0%,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
TOTALE COSTI DIRETTI E INDIRETTI,,8.071 ,,"6,9%",287 ,,55200%,7.784 ,"2711,9%",,,1.461 ,,4%,26 ,,52800%,1.434 ,,,,#REF!,,#REF!,#REF!,,n/a,#REF!,,#ERROR!,,,,
