,,PROGRESSIVO,,,,,,,,,,LUGLIO,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
CONTO ECONOMICO,,2025,,,2024,,,VARIAZIONE,,,,2025,,,2024,,,VARIAZIONE,,,,MESE CORRENTE + BUDGET,,,16-lug-05,,,VARIAZIONE,,,,,,
Luglio,,,,% RICAVI,,,% RICAVI,,,,,,,% RICAVI,,,% RICAVI,,,,,,,% RICAVI,,,% RICAVI,,,% RICAVI,,, CONTO ECONOMICO,TRASCODIFICA
Ricavi caratteristici,,219.789 ,,"95,5%",30.068 ,,"93,7%",189.720 ,"631,0%",,,43.589 ,, ,0 ,,,43.589 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ricavi caratteristici,Ricavi caratteristici
Altri ricavi,,10.241 ,,"4,5%",2.006 ,,6%,8.235 ,"410,5%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri ricavi,Altri ricavi
TOTALE RICAVI,,230.030 ,,100%,32.074 ,,100%,197.955 ,"617,2%",,,43.589 ,,100%,0 ,,#DIV/0!,43.589 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Servizi diretti,,11.901 ,,"5,2%",981 ,,,10.920 ,"1113,1%",,,1.534 ,,,41 ,,,1.492 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi diretti,Servizi diretti
Cosulenze dirette,,0 ,,"0,0%",0 ,,,0 ,"0,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Cosulenze dirette,Cosulenze dirette
Servizi informatici web,,673 ,,"0,3%",481 ,,,193 ,"19,6%",,,46 ,,,481 ,,,-435 ,,,,,,,,,,,,,,,Servizi informatici web,Servizi informatici web
Servizi cloud,,0 ,,"0,0%",0 ,,,0 ,"0,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi cloud,Servizi cloud
COSTI DIRETTI,,12.574 ,,"5,5%",1.462 ,,5%,11.112 ,"760,1%",,,1.580 ,,4%,522 ,,n/a,1.057 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
---,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,---,---
---,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,---,---
Altri servizi e prestazioni,,1.750 ,,"0,8%",5.500 ,,,-3.750 ,"-68,2%",,,500 ,,,0 ,,,500 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri servizi e prestazioni,Altri servizi e prestazioni
COSTI INDIRETTI,,1.750 ,,"0,8%",5.500 ,,17%,-3.750 ,"-68,2%",,,500 ,,1%,0 ,,n/a,500 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
TOTALE COSTI DIRETTI E INDIRETTI,,14.324 ,,"6,2%",6.962 ,,22%,7.362 ,"105,8%",,,2.080 ,,5%,522 ,,n/a,1.057 ,,,,#REF!,,#REF!,#REF!,,n/a,#REF!,,#ERROR!,,,,
GROSS PROFIT,,215.705 ,,"93,8%",25.112 ,,78%,190.593 ,"759,0%",,,41.509 ,,95%,-522 ,,n/a,42.531 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Autofatture,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Autofatture,Ricavi non tipici
