,,PROGRESSIVO,,,,,,,,,,MAGGIO,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
CONTO ECONOMICO,,2025,,,2024,,,VARIAZIONE,,,,2025,,,2024,,,VARIAZIONE,,,,MESE CORRENTE + BUDGET,,,16-lug-05,,,VARIAZIONE,,,,,,
Maggio,,,,% RICAVI,,,% RICAVI,,,,,,,% RICAVI,,,% RICAVI,,,,,,,% RICAVI,,,% RICAVI,,,% RICAVI,,, CONTO ECONOMICO,TRASCODIFICA
Ricavi caratteristici,,151.200 ,,"93,7%",0 ,,"0,0%",151.200 ,#DIV/0!,,,18.600 ,, ,0 ,,,18.600 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ricavi caratteristici,Ricavi caratteristici
Altri ricavi,,10.241 ,,"6,3%",2.003 ,,100%,8.238 ,"411,3%",,,1 ,,,1.776 ,,,-1.776 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri ricavi,Altri ricavi
TOTALE RICAVI,,161.441 ,,100%,2.003 ,,100%,159.438 ,"7960,7%",,,18.601 ,,100%,1.776 ,,100%,16.824 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Servizi diretti,,9.213 ,,"5,7%",301 ,,,8.913 ,"2965,5%",,,1.050 ,,,7 ,,,1.043 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi diretti,Servizi diretti
Cosulenze dirette,,0 ,,"0,0%",0 ,,,0 ,"0,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Cosulenze dirette,Cosulenze dirette
Servizi informatici web,,606 ,,"0,4%",0 ,,,606 ,"201,5%",,,62 ,,,0 ,,,62 ,,,,,,,,,,,,,,,Servizi informatici web,Servizi informatici web
Servizi cloud,,0 ,,"0,0%",0 ,,,0 ,"0,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi cloud,Servizi cloud
COSTI DIRETTI,,9.819 ,,"6,1%",301 ,,15%,9.518 ,"3167,0%",,,1.112 ,,6%,7 ,,0%,1.105 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
---,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,---,---
---,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,---,---
Altri servizi e prestazioni,,1.250 ,,"0,8%",5.250 ,,,-4.000 ,"-76,2%",,,0 ,,,250 ,,,-250 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri servizi e prestazioni,Altri servizi e prestazioni
COSTI INDIRETTI,,1.250 ,,"0,8%",5.250 ,,262%,-4.000 ,"-76,2%",,,0 ,,0%,250 ,,14%,-250 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
TOTALE COSTI DIRETTI E INDIRETTI,,11.069 ,,"6,9%",5.551 ,,277%,5.518 ,"99,4%",,,1.112 ,,6%,257 ,,14%,1.105 ,,,,#REF!,,#REF!,#REF!,,n/a,#REF!,,#ERROR!,,,,
GROSS PROFIT,,150.372 ,,"93,1%",-3.548 ,,-177%,153.920 ,"-4338,5%",,,17.489 ,,94%,1.520 ,,86%,15.719 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Autofatture,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Autofatture,Ricavi non tipici
Rimborsi spese,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Rimborsi spese,Ricavi non tipici
Altri proventi,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri proventi,Ricavi non tipici
ALTRI RICAVI NON TIPICI,,0 ,,0%,0 ,,0%,0 ,#DIV/0!,,,0 ,,0%,0 ,,0%,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Spese viaggio,,2.795 ,,"1,7%",6.513 ,,,-3.718 ,"-57,1%",,,546 ,,,797 ,,,-251 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese viaggio,Costi commerciali
Pedaggi autostradali,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Pedaggi autostradali,Costi commerciali
Pubblicità,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,,,,,,,,,,,,Pubblicità,Costi commerciali
Materiale pubblicitario,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Materiale pubblicitario,Costi commerciali
Omaggi,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Omaggi,Costi commerciali
Spese di rappresentanza,,3.766 ,,"2,3%",2.637 ,,,1.130 ,"42,8%",,,784 ,,,47 ,,,737 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese di rappresentanza,Costi commerciali
Mostre e fiere,,5.890 ,,"3,6%",0 ,,,5.890 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Mostre e fiere,Costi commerciali
Servizi commerciali,,278 ,,"0,2%",0 ,,,278 ,#DIV/0!,,,55 ,,,0 ,,,55 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi commerciali,Costi commerciali
Carburante,,1.028 ,,"0,6%",961 ,,,67 ,"7,0%",,,226 ,,,382 ,,,-156 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Carburante,Costi commerciali
SPESE COMMERCIALI,,13.758 ,,9%,10.111 ,,505%,3.647 ,"36,1%",,,1.611 ,,9%,1.225 ,,69%,385 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Beni indeducibili,,2.236 ,,"1,4%",2.755 ,,,-518 ,"-18,8%",,,113 ,,,24 ,,,90 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Beni indeducibili,Altre spese di funzionamento
Spese generali,,22.205 ,,"13,8%",2.366 ,,,19.839 ,"838,6%",,,343 ,,,89 ,,,254 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese generali,Altre spese di funzionamento
Materiale vario e di consumo,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Materiale vario e di consumo,Altre spese di funzionamento
Spese di pulizia,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese di pulizia,Altre spese di funzionamento
Utenze,,438 ,,"0,3%",437 ,,,1 ,"0,3%",,,94 ,,,55 ,,,39 ,,,,,,,,,,,,,,,Utenze,Altre spese di funzionamento
Assicurazioni,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,,,,,,,,,,,,Assicurazioni,Altre spese di funzionamento
Rimanenze,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,,,,,,,,,,,,Rimanenze,Altre spese di funzionamento
Tasse e valori bollati,,560 ,,"0,3%",597 ,,,-37 ,"-6,2%",,,8 ,,,31 ,,,-22 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Tasse e valori bollati,Altre spese di funzionamento
Sanzioni e multe,,78 ,,"0,0%",0 ,,,78 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Sanzioni e multe,Altre spese di funzionamento
Compensi amministratore,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Compensi amministratore,Compensi amministratore
Rimborsi amministratore,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Rimborsi amministratore,Rimborsi amministratore
Personale,,85.234 ,,"52,8%",49.936 ,,,35.298 ,"70,7%",,,12.682 ,,,11.542 ,,,1.140 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Personale,Personale
Servizi amministrativi contabilità,,9.579 ,,"5,9%",7.358 ,,,2.220 ,"30,2%",,,1.346 ,,,818 ,,,528 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi contabilità,Servizi contabili e paghe
Servizi amministrativi paghe,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi paghe,Servizi contabili e paghe
Consulenze tecniche,,25.854 ,,"16,0%",42.025 ,,,-16.171 ,"-38,5%",,,4.130 ,,,4.296 ,,,-166 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze tecniche,Consulenze tecniche
Consulenze legali,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze legali,Consulenze legali
Locazioni e noleggi,,4.960 ,,"3,1%",2.370 ,,,2.590 ,"109,3%",,,1.094 ,,,510 ,,,584 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Locazioni e noleggi,Altre spese di funzionamento
Servizi indeducibili,,956 ,,"0,6%",4.411 ,,,-3.455 ,"-78,3%",,,61 ,,,631 ,,,-570 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi indeducibili,Altre spese di funzionamento
Utili e perdite su cambi,,513 ,,"0,3%",76 ,,,437 ,"574,8%",,,0 ,,,13 ,,,-13 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Utili e perdite su cambi,Altre spese di funzionamento
